week,week_raw,incidencePer100k,geo_insee,geo_name
2016-W36,201636,4,FR,"France"
2016-W35,201635,5,FR,"France"
2016-W34,201634,3,FR,"France"
2016-W33,201633,2,FR,"France"
2016-W32,201632,3,FR,"France"
2016-W31,201631,6,FR,"France"
2016-W30,201630,5,FR,"France"
2016-W29,201629,2,FR,"France"
2016-W28,201628,4,FR,"France"
2016-W27,201627,9,FR,"France"
2016-W26,201626,6,FR,"France"
2016-W25,201625,7,FR,"France"
2016-W24,201624,8,FR,"France"
2016-W23,201623,8,FR,"France"
2016-W22,201622,9,FR,"France"
2016-W21,201621,9,FR,"France"
2016-W20,201620,6,FR,"France"
2016-W19,201619,7,FR,"France"
2016-W18,201618,13,FR,"France"
2016-W17,201617,21,FR,"France"
2016-W16,201616,39,FR,"France"
2016-W15,201615,74,FR,"France"
2016-W14,201614,142,FR,"France"
2016-W13,201613,262,FR,"France"
2016-W12,201612,418,FR,"France"
2016-W11,201611,467,FR,"France"
2016-W10,201610,402,FR,"France"
2016-W09,201609,353,FR,"France"
2016-W08,201608,299,FR,"France"
2016-W07,201607,318,FR,"France"
2016-W06,201606,301,FR,"France"
2016-W05,201605,275,FR,"France"
2016-W04,201604,228,FR,"France"
2016-W03,201603,116,FR,"France"
2016-W02,201602,68,FR,"France"
2016-W01,201601,65,FR,"France"
2015-W53,201553,38,FR,"France"
2015-W52,201552,30,FR,"France"
2015-W51,201551,45,FR,"France"
2015-W50,201550,39,FR,"France"
2015-W49,201549,33,FR,"France"
2015-W48,201548,25,FR,"France"
2015-W47,201547,23,FR,"France"
2015-W46,201546,20,FR,"France"
2015-W45,201545,21,FR,"France"
2015-W44,201544,23,FR,"France"
2015-W43,201543,26,FR,"France"
2015-W42,201542,29,FR,"France"
2015-W41,201541,21,FR,"France"
2015-W40,201540,20,FR,"France"
2015-W39,201539,13,FR,"France"
2015-W38,201538,13,FR,"France"
2015-W37,201537,14,FR,"France"
2015-W36,201536,3,FR,"France"
2015-W35,201535,0,FR,"France"
2015-W34,201534,1,FR,"France"
2015-W33,201533,2,FR,"France"
2015-W32,201532,2,FR,"France"
2015-W31,201531,4,FR,"France"
2015-W30,201530,4,FR,"France"
2015-W29,201529,4,FR,"France"
2015-W28,201528,3,FR,"France"
2015-W27,201527,3,FR,"France"
2015-W26,201526,4,FR,"France"
2015-W25,201525,4,FR,"France"
2015-W24,201524,4,FR,"France"
2015-W23,201523,4,FR,"France"
2015-W22,201522,7,FR,"France"
2015-W21,201521,9,FR,"France"
2015-W20,201520,7,FR,"France"
2015-W19,201519,10,FR,"France"
2015-W18,201518,6,FR,"France"
2015-W17,201517,10,FR,"France"
2015-W16,201516,19,FR,"France"
2015-W15,201515,30,FR,"France"
2015-W14,201514,48,FR,"France"
2015-W13,201513,77,FR,"France"
2015-W12,201512,109,FR,"France"
2015-W11,201511,154,FR,"France"
2015-W10,201510,223,FR,"France"
2015-W09,201509,370,FR,"France"
2015-W08,201508,635,FR,"France"
2015-W07,201507,802,FR,"France"
2015-W06,201506,827,FR,"France"
2015-W05,201505,710,FR,"France"
2015-W04,201504,453,FR,"France"
2015-W03,201503,239,FR,"France"
2015-W02,201502,161,FR,"France"
2015-W01,201501,110,FR,"France"
2014-W52,201452,98,FR,"France"
2014-W51,201451,71,FR,"France"
2014-W50,201450,66,FR,"France"
2014-W49,201449,52,FR,"France"
2014-W48,201448,44,FR,"France"
2014-W47,201447,28,FR,"France"
2014-W46,201446,23,FR,"France"
2014-W45,201445,25,FR,"France"
2014-W44,201444,24,FR,"France"
2014-W43,201443,25,FR,"France"
2014-W42,201442,34,FR,"France"
2014-W41,201441,35,FR,"France"
2014-W40,201440,26,FR,"France"
2014-W39,201439,13,FR,"France"
2014-W38,201438,16,FR,"France"
2014-W37,201437,12,FR,"France"
2014-W36,201436,8,FR,"France"
2014-W35,201435,4,FR,"France"
2014-W34,201434,4,FR,"France"
2014-W33,201433,4,FR,"France"
2014-W32,201432,5,FR,"France"
2014-W31,201431,6,FR,"France"
2014-W30,201430,7,FR,"France"
2014-W29,201429,8,FR,"France"
2014-W28,201428,6,FR,"France"
2014-W27,201427,8,FR,"France"
2014-W26,201426,6,FR,"France"
2014-W25,201425,7,FR,"France"
2014-W24,201424,3,FR,"France"
2014-W23,201423,8,FR,"France"
2014-W22,201422,11,FR,"France"
2014-W21,201421,7,FR,"France"
2014-W20,201420,9,FR,"France"
2014-W19,201419,6,FR,"France"
2014-W18,201418,7,FR,"France"
2014-W17,201417,5,FR,"France"
2014-W16,201416,11,FR,"France"
2014-W15,201415,17,FR,"France"
2014-W14,201414,30,FR,"France"
2014-W13,201413,34,FR,"France"
2014-W12,201412,37,FR,"France"
2014-W11,201411,69,FR,"France"
2014-W10,201410,134,FR,"France"
2014-W09,201409,229,FR,"France"
2014-W08,201408,293,FR,"France"
2014-W07,201407,325,FR,"France"
2014-W06,201406,250,FR,"France"
2014-W05,201405,187,FR,"France"
2014-W04,201404,133,FR,"France"
2014-W03,201403,100,FR,"France"
2014-W02,201402,73,FR,"France"
2014-W01,201401,55,FR,"France"
2013-W52,201352,47,FR,"France"
2013-W51,201351,47,FR,"France"
2013-W50,201350,38,FR,"France"
2013-W49,201349,28,FR,"France"
2013-W48,201348,28,FR,"France"
2013-W47,201347,35,FR,"France"
2013-W46,201346,21,FR,"France"
2013-W45,201345,17,FR,"France"
2013-W44,201344,16,FR,"France"
2013-W43,201343,25,FR,"France"
2013-W42,201342,23,FR,"France"
2013-W41,201341,19,FR,"France"
2013-W40,201340,15,FR,"France"
2013-W39,201339,8,FR,"France"
2013-W38,201338,15,FR,"France"
2013-W37,201337,8,FR,"France"
2013-W36,201336,7,FR,"France"
2013-W35,201335,2,FR,"France"
2013-W34,201334,3,FR,"France"
2013-W33,201333,7,FR,"France"
2013-W32,201332,7,FR,"France"
2013-W31,201331,4,FR,"France"
2013-W30,201330,3,FR,"France"
2013-W29,201329,3,FR,"France"
2013-W28,201328,2,FR,"France"
2013-W27,201327,7,FR,"France"
2013-W26,201326,5,FR,"France"
2013-W25,201325,4,FR,"France"
2013-W24,201324,11,FR,"France"
2013-W23,201323,25,FR,"France"
2013-W22,201322,11,FR,"France"
2013-W21,201321,9,FR,"France"
2013-W20,201320,6,FR,"France"
2013-W19,201319,2,FR,"France"
2013-W18,201318,5,FR,"France"
2013-W17,201317,12,FR,"France"
2013-W16,201316,15,FR,"France"
2013-W15,201315,30,FR,"France"
2013-W14,201314,58,FR,"France"
2013-W13,201313,68,FR,"France"
2013-W12,201312,95,FR,"France"
2013-W11,201311,132,FR,"France"
2013-W10,201310,259,FR,"France"
2013-W09,201309,407,FR,"France"
2013-W08,201308,550,FR,"France"
2013-W07,201307,736,FR,"France"
2013-W06,201306,738,FR,"France"
2013-W05,201305,770,FR,"France"
2013-W04,201304,613,FR,"France"
2013-W03,201303,352,FR,"France"
2013-W02,201302,288,FR,"France"
2013-W01,201301,256,FR,"France"
2012-W52,201252,251,FR,"France"
2012-W51,201251,179,FR,"France"
2012-W50,201250,126,FR,"France"
2012-W49,201249,75,FR,"France"
2012-W48,201248,68,FR,"France"
2012-W47,201247,62,FR,"France"
2012-W46,201246,42,FR,"France"
2012-W45,201245,30,FR,"France"
2012-W44,201244,21,FR,"France"
2012-W43,201243,28,FR,"France"
2012-W42,201242,21,FR,"France"
2012-W41,201241,29,FR,"France"
2012-W40,201240,28,FR,"France"
2012-W39,201239,32,FR,"France"
2012-W38,201238,23,FR,"France"
2012-W37,201237,12,FR,"France"
2012-W36,201236,10,FR,"France"
2012-W35,201235,13,FR,"France"
2012-W34,201234,6,FR,"France"
2012-W33,201233,10,FR,"France"
2012-W32,201232,10,FR,"France"
2012-W31,201231,4,FR,"France"
2012-W30,201230,3,FR,"France"
2012-W29,201229,10,FR,"France"
2012-W28,201228,7,FR,"France"
2012-W27,201227,7,FR,"France"
2012-W26,201226,8,FR,"France"
2012-W25,201225,4,FR,"France"
2012-W24,201224,9,FR,"France"
2012-W23,201223,4,FR,"France"
2012-W22,201222,9,FR,"France"
2012-W21,201221,6,FR,"France"
2012-W20,201220,4,FR,"France"
2012-W19,201219,5,FR,"France"
2012-W18,201218,4,FR,"France"
2012-W17,201217,11,FR,"France"
2012-W16,201216,18,FR,"France"
2012-W15,201215,32,FR,"France"
2012-W14,201214,58,FR,"France"
2012-W13,201213,99,FR,"France"
2012-W12,201212,133,FR,"France"
2012-W11,201211,203,FR,"France"
2012-W10,201210,275,FR,"France"
2012-W09,201209,355,FR,"France"
2012-W08,201208,452,FR,"France"
2012-W07,201207,415,FR,"France"
2012-W06,201206,276,FR,"France"
2012-W05,201205,167,FR,"France"
2012-W04,201204,107,FR,"France"
2012-W03,201203,78,FR,"France"
2012-W02,201202,64,FR,"France"
2012-W01,201201,71,FR,"France"
2011-W52,201152,58,FR,"France"
2011-W51,201151,41,FR,"France"
2011-W50,201150,38,FR,"France"
2011-W49,201149,43,FR,"France"
2011-W48,201148,51,FR,"France"
2011-W47,201147,28,FR,"France"
2011-W46,201146,35,FR,"France"
2011-W45,201145,29,FR,"France"
2011-W44,201144,22,FR,"France"
2011-W43,201143,34,FR,"France"
2011-W42,201142,27,FR,"France"
2011-W41,201141,12,FR,"France"
2011-W40,201140,22,FR,"France"
2011-W39,201139,27,FR,"France"
2011-W38,201138,22,FR,"France"
2011-W37,201137,13,FR,"France"
2011-W36,201136,7,FR,"France"
2011-W35,201135,7,FR,"France"
2011-W34,201134,5,FR,"France"
2011-W33,201133,4,FR,"France"
2011-W32,201132,4,FR,"France"
2011-W31,201131,4,FR,"France"
2011-W30,201130,6,FR,"France"
2011-W29,201129,4,FR,"France"
2011-W28,201128,3,FR,"France"
2011-W27,201127,6,FR,"France"
2011-W26,201126,2,FR,"France"
2011-W25,201125,6,FR,"France"
2011-W24,201124,6,FR,"France"
2011-W23,201123,5,FR,"France"
2011-W22,201122,5,FR,"France"
2011-W21,201121,4,FR,"France"
2011-W20,201120,6,FR,"France"
2011-W19,201119,9,FR,"France"
2011-W18,201118,8,FR,"France"
2011-W17,201117,4,FR,"France"
2011-W16,201116,8,FR,"France"
2011-W15,201115,10,FR,"France"
2011-W14,201114,12,FR,"France"
2011-W13,201113,14,FR,"France"
2011-W12,201112,20,FR,"France"
2011-W11,201111,23,FR,"France"
2011-W10,201110,53,FR,"France"
2011-W09,201109,86,FR,"France"
2011-W08,201108,124,FR,"France"
2011-W07,201107,236,FR,"France"
2011-W06,201106,343,FR,"France"
2011-W05,201105,440,FR,"France"
2011-W04,201104,440,FR,"France"
2011-W03,201103,437,FR,"France"
2011-W02,201102,489,FR,"France"
